Name,Length,Voltage,Current,Power
21_03_43_825891_http_get_cpp,0:00:00.130234,5.118,274.395,1370.767
21_03_44_321970_http_get_cpp,0:00:00.127236,5.119,269.016,1384.390
21_03_44_824729_http_get_cpp,0:00:00.122482,5.120,265.562,1390.882
21_03_45_318202_http_get_cpp,0:00:00.122453,5.117,267.029,1356.398
21_03_45_815814_http_get_cpp,0:00:00.127493,5.118,264.896,1362.927
21_03_50_254183_LED_show_message_cpp,0:00:04.099808,5.116,278.362,1427.159
21_04_26_697161_LED_show_message_cpp,0:00:04.071504,5.116,280.758,1427.125
21_05_03_082361_LED_show_message_cpp,0:00:04.060919,5.116,278.758,1423.435
21_05_39_524179_LED_show_message_cpp,0:00:04.048397,5.117,278.430,1425.524
21_06_15_965291_LED_show_message_cpp,0:00:04.035619,5.117,276.966,1427.559
21_06_52_353654_LED_show_message_cpp,0:00:04.070605,5.117,279.659,1420.930
21_07_28_789597_LED_show_message_cpp,0:00:04.069986,5.116,278.993,1440.058
21_08_05_224943_LED_show_message_cpp,0:00:04.063053,5.117,279.297,1426.665
21_08_41_661277_LED_show_message_cpp,0:00:04.048640,5.117,279.629,1415.829
21_09_18_097316_LED_show_message_cpp,0:00:04.043128,5.117,276.662,1429.385
21_03_53_449728_LED_show_letter_cpp,0:00:02.999267,5.115,282.189,1445.349
21_04_29_829822_LED_show_letter_cpp,0:00:02.982728,5.115,285.506,1454.064
21_05_06_275124_LED_show_letter_cpp,0:00:03.025941,5.116,279.869,1434.962
21_05_42_716923_LED_show_letter_cpp,0:00:03.011983,5.117,281.026,1435.767
21_06_19_157654_LED_show_letter_cpp,0:00:02.994998,5.117,280.947,1437.209
21_06_55_543053_LED_show_letter_cpp,0:00:03.035373,5.116,280.066,1436.946
21_07_31_980601_LED_show_letter_cpp,0:00:03.033607,5.117,280.251,1434.082
21_08_08_416872_LED_show_letter_cpp,0:00:03.019123,5.116,280.453,1437.900
21_08_44_855267_LED_show_letter_cpp,0:00:03.013374,5.117,282.206,1436.326
21_09_21_291086_LED_show_letter_cpp,0:00:03.005137,5.117,279.987,1436.457
21_03_56_615286_LED_set_pixels_cpp_0,0:00:03.029902,5.120,260.691,1333.822
21_04_33_113367_LED_set_pixels_cpp_0,0:00:03.077018,5.121,260.605,1333.245
21_05_09_496649_LED_set_pixels_cpp_0,0:00:03.058167,5.121,260.670,1335.052
21_05_45_940146_LED_set_pixels_cpp_0,0:00:03.046699,5.121,260.581,1334.992
21_06_22_380912_LED_set_pixels_cpp_0,0:00:03.028898,5.121,261.460,1335.538
21_06_58_767216_LED_set_pixels_cpp_0,0:00:03.077848,5.121,260.757,1335.512
21_07_35_198359_LED_set_pixels_cpp_0,0:00:03.063598,5.122,260.808,1334.851
21_08_11_638985_LED_set_pixels_cpp_0,0:00:03.053766,5.122,260.432,1335.037
21_08_48_076577_LED_set_pixels_cpp_0,0:00:03.043663,5.121,261.557,1337.255
21_09_24_516673_LED_set_pixels_cpp_0,0:00:03.038702,5.122,260.472,1334.019
21_03_59_895792_LED_set_pixels_cpp_1,0:00:03.082539,5.120,262.243,1340.289
21_04_36_275438_LED_set_pixels_cpp_1,0:00:03.010219,5.121,261.467,1338.173
21_05_12_717819_LED_set_pixels_cpp_1,0:00:03.056095,5.121,261.534,1338.077
21_05_49_160589_LED_set_pixels_cpp_1,0:00:03.037710,5.121,260.961,1339.202
21_06_25_605577_LED_set_pixels_cpp_1,0:00:03.027986,5.121,261.157,1336.827
21_07_01_987723_LED_set_pixels_cpp_1,0:00:03.067987,5.121,261.395,1339.603
21_07_38_419610_LED_set_pixels_cpp_1,0:00:03.066664,5.121,261.236,1336.463
21_08_14_859907_LED_set_pixels_cpp_1,0:00:03.053106,5.121,261.467,1338.884
21_08_51_294429_LED_set_pixels_cpp_1,0:00:03.044904,5.121,261.223,1337.798
21_09_27_737770_LED_set_pixels_cpp_1,0:00:03.036369,5.121,262.540,1342.267
21_04_03_123698_LED_set_pixels_cpp_2,0:00:03.022875,5.120,263.856,1348.863
21_04_39_498579_LED_set_pixels_cpp_2,0:00:03.071144,5.120,263.262,1353.150
21_05_15_938964_LED_set_pixels_cpp_2,0:00:03.056073,5.121,263.276,1351.486
21_05_52_381660_LED_set_pixels_cpp_2,0:00:03.041792,5.120,263.484,1346.224
21_06_28_829155_LED_set_pixels_cpp_2,0:00:03.023215,5.120,268.292,1371.990
21_07_05_208798_LED_set_pixels_cpp_2,0:00:03.068149,5.121,262.539,1352.176
21_07_41_640507_LED_set_pixels_cpp_2,0:00:03.068139,5.121,263.184,1351.046
21_08_18_082588_LED_set_pixels_cpp_2,0:00:03.053600,5.121,264.216,1350.632
21_08_54_515650_LED_set_pixels_cpp_2,0:00:03.046984,5.120,263.277,1352.085
21_09_30_960269_LED_set_pixels_cpp_2,0:00:03.030200,5.120,267.158,1361.033
21_04_06_339408_LED_set_pixels_cpp_3,0:00:03.013537,5.119,268.252,1373.554
21_04_42_719046_LED_set_pixels_cpp_3,0:00:03.067318,5.119,267.123,1365.838
21_05_19_162514_LED_set_pixels_cpp_3,0:00:03.056760,5.120,267.979,1373.174
21_05_55_604048_LED_set_pixels_cpp_3,0:00:03.041331,5.120,268.256,1374.283
21_06_32_049170_LED_set_pixels_cpp_3,0:00:03.019247,5.120,265.513,1351.820
21_07_08_430153_LED_set_pixels_cpp_3,0:00:03.072558,5.119,268.466,1366.637
21_07_44_867293_LED_set_pixels_cpp_3,0:00:03.063817,5.119,268.218,1372.603
21_08_21_305711_LED_set_pixels_cpp_3,0:00:03.055252,5.120,267.688,1362.860
21_08_57_736591_LED_set_pixels_cpp_3,0:00:03.047157,5.119,268.436,1372.964
21_09_34_183795_LED_set_pixels_cpp_3,0:00:03.028591,5.120,265.574,1360.601
21_04_09_559796_LED_set_pixels_cpp_4,0:00:03.020427,5.118,271.382,1392.392
21_04_45_939113_LED_set_pixels_cpp_4,0:00:03.067432,5.118,272.269,1391.632
21_05_22_385623_LED_set_pixels_cpp_4,0:00:03.051351,5.118,272.922,1395.779
21_05_58_824179_LED_set_pixels_cpp_4,0:00:03.041087,5.118,274.484,1402.730
21_06_35_273950_LED_set_pixels_cpp_4,0:00:03.021816,5.118,272.130,1394.719
21_07_11_653322_LED_set_pixels_cpp_4,0:00:03.067442,5.119,271.426,1394.268
21_07_48_083688_LED_set_pixels_cpp_4,0:00:03.055958,5.119,272.082,1393.873
21_08_24_525405_LED_set_pixels_cpp_4,0:00:03.049958,5.119,270.876,1396.673
21_09_00_958139_LED_set_pixels_cpp_4,0:00:03.045971,5.119,272.237,1396.528
21_09_37_404181_LED_set_pixels_cpp_4,0:00:03.026197,5.119,272.337,1398.703
21_04_12_784233_LED_set_pixels_cpp_5,0:00:03.021047,5.116,278.884,1435.804
21_04_49_163828_LED_set_pixels_cpp_5,0:00:03.072123,5.117,278.695,1427.626
21_05_25_601824_LED_set_pixels_cpp_5,0:00:03.050544,5.117,278.789,1429.071
21_06_02_043448_LED_set_pixels_cpp_5,0:00:03.039358,5.117,279.020,1424.534
21_06_38_495031_LED_set_pixels_cpp_5,0:00:03.017945,5.118,278.781,1424.871
21_07_14_870785_LED_set_pixels_cpp_5,0:00:03.066690,5.117,279.235,1420.414
21_08_27_750044_LED_set_pixels_cpp_5,0:00:03.055454,5.117,278.725,1432.194
21_09_04_178232_LED_set_pixels_cpp_5,0:00:03.044010,5.117,278.700,1425.847
21_09_40_629436_LED_set_pixels_cpp_5,0:00:03.028517,5.117,278.655,1424.737
21_07_51_305272_LED_set_pixels_cpp_5,0:00:03.064292,5.117,278.082,1425.763
21_04_16_005907_LED_set_pixels_cpp_6,0:00:03.017034,5.114,286.527,1473.464
