Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_04_03_123698_LED_set_pixels_cpp_2              ,      4.009,      5.120,    263.844,   1348.801,      5.396
21_04_39_498579_LED_set_pixels_cpp_2              ,      4.009,      5.120,    263.251,   1353.080,      5.397
21_05_15_938964_LED_set_pixels_cpp_2              ,      4.009,      5.121,    263.263,   1351.415,      5.387
21_05_52_381660_LED_set_pixels_cpp_2              ,      4.009,      5.120,    263.472,   1346.165,      5.371
21_06_28_829155_LED_set_pixels_cpp_2              ,      4.009,      5.120,    268.273,   1371.889,      5.504
21_07_05_208798_LED_set_pixels_cpp_2              ,      4.009,      5.121,    262.529,   1352.107,      5.390
21_07_41_640507_LED_set_pixels_cpp_2              ,      4.009,      5.121,    263.173,   1350.978,      5.378
21_08_18_082588_LED_set_pixels_cpp_2              ,      4.009,      5.121,    264.203,   1350.565,      5.438
21_08_54_515650_LED_set_pixels_cpp_2              ,      4.009,      5.119,    263.264,   1352.011,      5.386
21_09_30_960269_LED_set_pixels_cpp_2              ,      4.009,      5.120,    267.141,   1360.945,      5.403
21_39_48_292341_LED_set_pixels_2                  ,      4.009,      5.120,    262.493,   1344.102,      5.388
21_40_44_461995_LED_set_pixels_2                  ,      4.004,      5.119,    262.917,   1342.063,      5.372
21_41_40_608699_LED_set_pixels_2                  ,      4.009,      5.119,    262.549,   1341.244,      5.377
21_42_36_760691_LED_set_pixels_2                  ,      4.009,      5.119,    262.849,   1344.527,      5.390
21_43_32_915264_LED_set_pixels_2                  ,      4.009,      5.119,    262.370,   1342.656,      5.382
21_44_29_075825_LED_set_pixels_2                  ,      4.009,      5.118,    263.857,   1363.317,      5.465
21_45_25_226731_LED_set_pixels_2                  ,      4.009,      5.119,    262.154,   1343.008,      5.384
21_46_21_380039_LED_set_pixels_2                  ,      4.009,      5.119,    262.251,   1345.822,      5.395
21_47_17_544078_LED_set_pixels_2                  ,      4.009,      5.119,    262.035,   1342.329,      5.381
21_48_13_691686_LED_set_pixels_2                  ,      4.009,      5.119,    262.114,   1344.115,      5.389
21_14_36_702413_LED_set_pixels_js_2               ,      4.009,      5.117,    280.269,   1439.155,      5.645
21_15_13_155228_LED_set_pixels_js_2               ,      4.009,      5.121,    263.238,   1352.036,      5.381
21_15_49_557074_LED_set_pixels_js_2               ,      4.009,      5.121,    262.817,   1350.309,      5.399
21_16_26_000663_LED_set_pixels_js_2               ,      4.009,      5.121,    263.703,   1350.885,      5.386
21_17_02_447251_LED_set_pixels_js_2               ,      4.009,      5.120,    266.138,   1358.831,      5.401
21_17_38_903174_LED_set_pixels_js_2               ,      4.009,      5.120,    263.418,   1347.134,      5.371
21_18_15_295039_LED_set_pixels_js_2               ,      4.009,      5.120,    264.175,   1346.056,      5.386
21_18_51_743138_LED_set_pixels_js_2               ,      4.009,      5.121,    263.534,   1353.080,      5.386
21_19_28_188873_LED_set_pixels_js_2               ,      4.009,      5.119,    265.475,   1359.680,      5.413
21_20_04_627735_LED_set_pixels_js_2               ,      4.009,      5.121,    263.036,   1349.347,      5.377
