Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_04_09_559796_LED_set_pixels_cpp_4              ,      4.004,      5.118,    271.357,   1392.263,      5.503
21_04_45_939113_LED_set_pixels_cpp_4              ,      4.004,      5.118,    272.243,   1391.506,      5.595
21_05_22_385623_LED_set_pixels_cpp_4              ,      4.004,      5.118,    272.895,   1395.645,      5.636
21_05_58_824179_LED_set_pixels_cpp_4              ,      4.004,      5.118,    274.453,   1402.583,      5.647
21_06_35_273950_LED_set_pixels_cpp_4              ,      4.004,      5.118,    272.104,   1394.588,      5.512
21_07_11_653322_LED_set_pixels_cpp_4              ,      4.004,      5.119,    271.402,   1394.137,      5.515
21_07_48_083688_LED_set_pixels_cpp_4              ,      4.004,      5.119,    272.056,   1393.746,      5.514
21_08_24_525405_LED_set_pixels_cpp_4              ,      4.004,      5.118,    270.852,   1396.538,      5.520
21_09_00_958139_LED_set_pixels_cpp_4              ,      4.004,      5.119,    272.212,   1396.390,      5.510
21_09_37_404181_LED_set_pixels_cpp_4              ,      4.004,      5.119,    272.311,   1398.556,      5.515
21_39_58_338471_LED_set_pixels_4                  ,      4.004,      5.117,    271.521,   1391.710,      5.572
21_40_54_498344_LED_set_pixels_4                  ,      4.004,      5.118,    268.346,   1381.520,      5.531
21_41_50_652842_LED_set_pixels_4                  ,      4.004,      5.118,    271.154,   1381.763,      5.532
21_42_46_808493_LED_set_pixels_4                  ,      4.004,      5.117,    272.073,   1398.447,      5.599
21_43_42_962302_LED_set_pixels_4                  ,      4.004,      5.117,    271.517,   1382.474,      5.536
21_44_39_117286_LED_set_pixels_4                  ,      4.004,      5.117,    270.691,   1381.621,      5.532
21_45_35_215351_LED_set_pixels_4                  ,      3.997,      5.117,    269.300,   1381.751,      5.523
21_46_31_370614_LED_set_pixels_4                  ,      3.997,      5.116,    273.505,   1396.588,      5.582
21_47_27_521922_LED_set_pixels_4                  ,      4.001,      5.117,    271.038,   1389.105,      5.558
21_48_23_675946_LED_set_pixels_4                  ,      4.004,      5.117,    272.049,   1383.760,      5.541
21_14_43_144664_LED_set_pixels_js_4               ,      4.004,      5.118,    272.118,   1387.052,      5.482
21_15_19_602391_LED_set_pixels_js_4               ,      4.004,      5.119,    272.512,   1393.940,      5.505
21_15_56_002763_LED_set_pixels_js_4               ,      4.004,      5.119,    271.587,   1380.887,      5.462
21_16_32_441767_LED_set_pixels_js_4               ,      4.004,      5.119,    272.880,   1393.098,      5.620
21_17_08_887538_LED_set_pixels_js_4               ,      4.004,      5.118,    273.430,   1393.612,      5.514
21_17_45_347588_LED_set_pixels_js_4               ,      4.004,      5.119,    271.619,   1392.178,      5.611
21_18_21_737124_LED_set_pixels_js_4               ,      4.004,      5.118,    273.802,   1388.766,      5.557
21_18_58_186835_LED_set_pixels_js_4               ,      4.004,      5.119,    272.649,   1390.343,      5.494
21_19_34_629244_LED_set_pixels_js_4               ,      4.004,      5.119,    272.922,   1392.077,      5.509
21_20_11_067169_LED_set_pixels_js_4               ,      4.004,      5.119,    271.995,   1392.211,      5.501
