21_38_44_341608_http_get,0:00:01.130398,5.119,262.758,1344.252
21_38_48_411821_http_get,0:00:01.029319,5.120,261.404,1340.277
21_38_52_491074_http_get,0:00:01.032940,5.120,262.001,1342.598
21_38_56_568046_http_get,0:00:01.028260,5.120,261.492,1338.301
21_39_00_653053_http_get,0:00:01.027991,5.120,261.697,1337.291
21_39_04_726614_http_get,0:00:01.030856,5.120,262.291,1340.671
21_39_08_822965_http_get,0:00:01.036519,5.120,261.702,1339.498
21_39_12_918718_http_get,0:00:01.037143,5.120,261.158,1338.415
21_39_17_008184_http_get,0:00:01.040125,5.120,261.863,1343.758
21_39_21_095651_http_get,0:00:01.030082,5.119,261.650,1338.708
