21_14_10_302049_save_record_sqlite3_js,0:00:00.172619,5.118,277.735,1409.797
21_14_10_829950_save_record_sqlite3_js,0:00:00.180922,5.117,276.208,1409.538
21_14_11_312176_save_record_sqlite3_js,0:00:00.142353,5.120,271.021,1385.301
21_14_11_786515_save_record_sqlite3_js,0:00:00.128045,5.121,268.779,1371.418
21_14_12_261539_save_record_sqlite3_js,0:00:00.127664,5.118,273.141,1381.120
21_14_12_736820_save_record_sqlite3_js,0:00:00.127681,5.119,272.483,1372.267
21_14_13_211057_save_record_sqlite3_js,0:00:00.127819,5.118,272.396,1376.188
21_14_13_686730_save_record_sqlite3_js,0:00:00.133438,5.120,273.007,1381.655
21_14_14_160349_save_record_sqlite3_js,0:00:00.127691,5.119,270.551,1376.965
21_14_14_635088_save_record_sqlite3_js,0:00:00.127831,5.120,272.962,1371.996
